Code	Model	Species	Size	River	Model.type	Default	Sampled.season	Valid.season	Data.origin	N.presences	N.absences	N.interviews.or.studies	True.positive	False.positive	True.negative	False.negative	Sensitivity	Specificity	TSS	Balanced.accuracy
ABCDF	Achondrostoma.arcasii.FRBS.Large.EKorL.Spring.Summer.Autumn	Achondrostoma arcasii	Large		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABCDE	Achondrostoma.arcasii.FRBS.Large.EKorL.Autumn.Winter.Spring	Achondrostoma arcasii	Large		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABCDI	Achondrostoma.arcasii.HSC.Large.EKorL.All	Achondrostoma arcasii	Large	Escabas (Tagus) + Guadiela (Tagus) + Palancia	HSC	TRUE	"Spring; Summer"	"Winter; Spring; Summer; Autumn"	Literature review	133	1052	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCDK	Achondrostoma.arcasii.HSC.Large.EKorL.Spring.Summer.Autumn	Achondrostoma arcasii	Large		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABCDJ	Achondrostoma.arcasii.HSC.Large.EKorL.Autumn.Winter.Spring	Achondrostoma arcasii	Large		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABCDH	Achondrostoma.arcasii.FRBS.Small.EKorL.Spring.Summer.Autumn	Achondrostoma arcasii	Small		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABCDG	Achondrostoma.arcasii.FRBS.Small.EKorL.Autumn.Winter.Spring	Achondrostoma arcasii	Small		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABCDM	Achondrostoma.arcasii.HSC.Small.EKorL.Spring.Summer.Autumn	Achondrostoma arcasii	Small		HSC	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABCDL	Achondrostoma.arcasii.HSC.Small.EKorL.Autumn.Winter.Spring	Achondrostoma arcasii	Small		HSC	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABCDN	Achondrostoma.asturicense.GAM.Large.Curueno.All	Achondrostoma asturicense	Large	Curueño (Douro)	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	40	880	NA	36	263	617	4	0.9	0.701	0.601	0.801
ABCDQ	Achondrostoma.asturicense.HSC.Large.Curueno.All	Achondrostoma asturicense	Large	Curueño (Douro)	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	40	880	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCDT	Achondrostoma.asturicense.NNET.Large.Curueno.All	Achondrostoma asturicense	Large	Curueño (Douro)	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	40	880	NA	39	318	562	1	0.975	0.639	0.614	0.807
ABCDW	Achondrostoma.asturicense.RF.Large.Curueno.All	Achondrostoma asturicense	Large	Curueño (Douro)	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	40	880	NA	39	318	562	1	0.975	0.639	0.614	0.807
ABCDZ	Achondrostoma.asturicense.SVM.Large.Curueno.All	Achondrostoma asturicense	Large	Curueño (Douro)	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	40	880	NA	30	205	675	10	0.75	0.767	0.517	0.759
ABCDO	Achondrostoma.asturicense.GAM.Medium.Curueno.All	Achondrostoma asturicense	Medium	Curueño (Douro)	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	136	784	NA	123	498	286	13	0.904	0.365	0.269	0.635
ABCDR	Achondrostoma.asturicense.HSC.Medium.Curueno.All	Achondrostoma asturicense	Medium	Curueño (Douro)	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	136	784	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCDU	Achondrostoma.asturicense.NNET.Medium.Curueno.All	Achondrostoma asturicense	Medium	Curueño (Douro)	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	136	784	NA	136	638	146	0	1	0.186	0.186	0.593
ABCDX	Achondrostoma.asturicense.RF.Medium.Curueno.All	Achondrostoma asturicense	Medium	Curueño (Douro)	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	136	784	NA	136	638	146	0	1	0.186	0.186	0.593
ABCEF	Achondrostoma.asturicense.SVM.Medium.Curueno.All	Achondrostoma asturicense	Medium	Curueño (Douro)	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	136	784	NA	98	374	410	38	0.721	0.523	0.244	0.622
ABCDP	Achondrostoma.asturicense.GAM.Small.Curueno.All	Achondrostoma asturicense	Small	Curueño (Douro)	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	219	701	NA	192	404	297	27	0.877	0.424	0.3	0.65
ABCDS	Achondrostoma.asturicense.HSC.Small.Curueno.All	Achondrostoma asturicense	Small	Curueño (Douro)	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	219	701	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCDV	Achondrostoma.asturicense.NNET.Small.Curueno.All	Achondrostoma asturicense	Small	Curueño (Douro)	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	219	701	NA	174	319	382	45	0.795	0.545	0.339	0.67
ABCDY	Achondrostoma.asturicense.RF.Small.Curueno.All	Achondrostoma asturicense	Small	Curueño (Douro)	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	219	701	NA	174	319	382	45	0.795	0.545	0.339	0.67
